"Date","Open","High","Low","Close","Shares.Traded","Turnover..Rs..Cr."
"04-Jun-2014",7417.55,7433.3,7391.35,7402.25,204592241,8913.89
"05-Jun-2014",7399.75,7484.7,7360.5,7474.1,250660653,11574.51
"06-Jun-2014",7521.5,7592.7,7497.65,7583.4,248397596,12322.96
"09-Jun-2014",7621.65,7673.7,7580.25,7654.6,231879926,10866.56
"10-Jun-2014",7679.05,7683.2,7579.3,7656.4,188669182,9475.21
"11-Jun-2014",7672.4,7700.05,7589.05,7626.85,186182446,10472.71
"12-Jun-2014",7641.3,7658,7593.8,7649.9,148207144,8187.49
"13-Jun-2014",7668.2,7678.5,7525.35,7542.1,174522339,11254.75
"16-Jun-2014",7534.8,7548.6,7487.55,7533.55,155377979,8449.27
"17-Jun-2014",7525.05,7637.6,7509.25,7631.7,157961787,8704.2
"18-Jun-2014",7636.05,7663,7515.5,7558.2,165078941,8963.97
"19-Jun-2014",7580.05,7606.45,7502.55,7540.7,148852437,8115.36
"20-Jun-2014",7543.3,7560.55,7497.3,7511.45,124132217,6801.49
"23-Jun-2014",7514,7534.8,7441.6,7493.35,127404790,6543.64
"24-Jun-2014",7515.2,7593.35,7515.2,7580.2,137002483,7146.44
"25-Jun-2014",7588.55,7589.25,7557.05,7569.25,114968325,6198.93
"26-Jun-2014",7554.1,7570.2,7481.3,7493.2,171676960,9190.64
"27-Jun-2014",7514.2,7538.75,7482.3,7508.8,126673395,6688.8
"30-Jun-2014",7534.05,7623.65,7531.6,7611.35,152303166,7887.37
"01-Jul-2014",7629,7649.5,7618.15,7634.7,139431498,6983.63
"02-Jul-2014",7683.05,7732.4,7677.3,7725.15,136324329,7363.75
"03-Jul-2014",7734.35,7754.65,7706.8,7714.8,133755275,7320.09
"04-Jul-2014",7718.1,7758,7661.3,7751.6,113070488,5863.82
"07-Jul-2014",7780.4,7792,7755.1,7787.15,173926355,8925.04
"08-Jul-2014",7804.05,7808.85,7595.9,7623.2,180646306,9002.25
"09-Jul-2014",7637.95,7650.1,7551.65,7585,168348843,8176.28
"10-Jul-2014",7589.5,7731.05,7479.05,7567.75,258385778,11431.68
"11-Jul-2014",7584.1,7625.85,7447.2,7459.6,187592951,8983.29
"14-Jul-2014",7469,7478.45,7422.15,7454.15,135231220,6659.48
"15-Jul-2014",7491.3,7534.9,7459.15,7526.65,122068670,6124.15
"16-Jul-2014",7564.15,7640.1,7532.45,7624.4,167973291,8186.24
"17-Jul-2014",7612.7,7655.65,7612.7,7640.45,141612002,6753.11
"18-Jul-2014",7630.25,7685,7595.5,7663.9,134603073,6903.7
"21-Jul-2014",7701.65,7722.1,7674,7684.2,105401279,5794.45
"22-Jul-2014",7708.2,7773.85,7704.8,7767.85,120081148,6494.69
"23-Jul-2014",7794.9,7809.2,7752.9,7795.75,122119113,7062.52
"24-Jul-2014",7796.25,7835.65,7771.65,7830.6,117608370,6271.45
"25-Jul-2014",7828.2,7840.95,7748.6,7790.45,153936037,7827.61
"28-Jul-2014",7792.9,7799.9,7722.65,7748.7,116534670,6107.78
"30-Jul-2014",7746.2,7798.7,7707.6,7791.4,178110084,10175.5
"31-Jul-2014",7784.65,7791.85,7711.15,7721.3,208857257,11718.26
"01-Aug-2014",7662.5,7716.7,7593.9,7602.6,181070405,9796.7
"04-Aug-2014",7639.55,7694.8,7622.05,7683.65,137040004,7495.07
"05-Aug-2014",7706.65,7752.45,7638.05,7746.55,128238762,6772.55
"06-Aug-2014",7726.15,7740.95,7658.95,7672.05,116361342,6905.9
"07-Aug-2014",7651.15,7708.95,7630.4,7649.25,116792296,6030.02
"08-Aug-2014",7588.7,7592.45,7540.1,7568.55,118429659,6283.56
"11-Aug-2014",7619.85,7635.55,7598.6,7625.95,106972573,5535.13
"12-Aug-2014",7688.8,7735.75,7654.8,7727.05,120611660,6181.17
"13-Aug-2014",7717.3,7757.1,7695.7,7739.55,154083920,8030.41
"14-Aug-2014",7756.15,7796.7,7739.1,7791.7,127328105,6745.33
"18-Aug-2014",7785.25,7880.5,7779.2,7874.25,126742201,6892.25
"19-Aug-2014",7901,7918.55,7881.15,7897.5,140615189,7928.8
"20-Aug-2014",7915.8,7922.7,7864.05,7875.3,117321408,6234.79
"21-Aug-2014",7875.35,7919.65,7855.95,7891.1,115221672,7502.01
"22-Aug-2014",7904.55,7929.05,7900.05,7913.2,104074858,7088.03
"25-Aug-2014",7931.75,7968.25,7897.95,7906.3,118465594,6152.32
"26-Aug-2014",7874.5,7915.45,7862.45,7904.75,142829732,6735.18
"27-Aug-2014",7933.9,7946.85,7916.55,7936.05,119961224,6261.16
"28-Aug-2014",7942.25,7967.8,7939.2,7954.35,189698796,10417.14
"01-Sep-2014",7990.35,8035,7984,8027.7,139328061,6944.65
"02-Sep-2014",8038.6,8101.95,8036.55,8083.05,134897503,7143.64
"03-Sep-2014",8110.85,8141.9,8092.25,8114.6,150726992,8444.29
"04-Sep-2014",8114.2,8114.8,8060.9,8095.95,141280504,6925.82
"05-Sep-2014",8099.9,8122.7,8049.85,8086.85,125981094,6559.7
"08-Sep-2014",8132.95,8180.2,8126.15,8173.9,120694390,6623.08
"09-Sep-2014",8161.9,8174.55,8126.5,8152.95,104740540,5364.95
"10-Sep-2014",8135.55,8135.75,8082.1,8094.1,107064326,5561.6
"11-Sep-2014",8115.15,8127.95,8057.3,8085.7,122818159,6492.35
"12-Sep-2014",8087.05,8114.3,8071.6,8105.5,111444349,6156.73
"15-Sep-2014",8070.35,8077.3,8030,8042,96502556,5387.06
"16-Sep-2014",8036.6,8044.9,7925.15,7932.9,127952551,6647.49
"17-Sep-2014",7971.5,7990.65,7936.95,7975.5,123722390,6689.37
"18-Sep-2014",7950.65,8120.85,7939.7,8114.75,116930309,6891.09
"19-Sep-2014",8129.4,8160.9,8105.35,8121.45,161284509,8957.42
"22-Sep-2014",8084.45,8159.9,8064.8,8146.3,105507265,5710.43
"23-Sep-2014",8144.4,8159.75,8008.1,8017.55,140780912,7947.61
"24-Sep-2014",8015.55,8042.05,7950.05,8002.4,182208501,7981.87
"25-Sep-2014",8003.3,8019.3,7877.35,7911.85,231899016,11692.69
"26-Sep-2014",7885.85,7993.3,7841.8,7968.85,147835866,8247.78
"29-Sep-2014",7978.45,7991.75,7934.7,7958.9,97267975,5089.35
"30-Sep-2014",7948.8,8030.9,7923.85,7964.8,141142071,7467.66
"01-Oct-2014",7960.5,7977.5,7936.7,7945.55,112997913,5979.61
"07-Oct-2014",7897.4,7943.05,7842.7,7852.4,148199508,7982.75
"08-Oct-2014",7828.75,7869.9,7815.75,7842.7,135914083,7408.61
"09-Oct-2014",7886.5,7972.35,7886.5,7960.55,123767811,6797.45
"10-Oct-2014",7911,7924.05,7848.45,7859.95,142926893,8473.9
"13-Oct-2014",7831,7901.15,7796,7884.25,118781369,6584.44
"14-Oct-2014",7923.25,7928,7825.45,7864,225472732,7709
"16-Oct-2014",7837.3,7893.9,7729.65,7748.2,213529479,9087.06
"17-Oct-2014",7733.75,7819.2,7723.85,7779.7,177623196,9626.9
"20-Oct-2014",7896.95,7905.95,7856.95,7879.4,176171562,8357.41
"21-Oct-2014",7906.15,7936.6,7874.35,7927.75,163403385,8432.94
